Name                 Assignments Quizzes     Labs   Exams
Apteffig Meginnit      11.66    8.75   25.83   14.50 
Apiii Meic              6.86    9.45   13.33   12.50 
Agnat Fiojic           12.53    7.35   28.75   14.50 
Anifo Agnit            14.17    6.65   27.50   11.00 
Amtug Nimi             18.66    7.35   27.50   16.50 
Aiillif Seiatgpipe     18.73    9.10   29.17   17.00 
Bipii Hiitgiim         12.48    7.70   16.78    8.50 
Bikui Somhg            20.30    7.70   23.33   14.50 
Baiga Napja             8.61    6.30   20.00   12.00 
Bumoffi Fito           20.30   11.90   30.00   24.50 
Buii Camip              9.97    8.40   23.61   12.50 
Biothgel Missgau       19.60    9.10   27.50   19.50 
Cio Zacom              18.90    8.05   30.00   16.00 
Ciiftum Wjiss          21.00   12.25   30.00   26.50 
Ciisai Mohgiaf         13.47    7.70   25.83   15.00 
Cgam Bupamh            19.59   10.15   22.50   17.50 
Cgomh Cgfua            19.01    9.10   23.33   14.00 
Cgosifuifi Hettiom     18.23   10.50   23.33   14.00 
Cge Dimoaf             15.37    8.75   27.50   19.50 
Cufafimt Laig          15.96   11.55   27.50   18.50 
Fim Wamuam             17.15    6.65   25.00   11.00 
Fe Giiha               12.95   10.50   25.00   14.00 
Gihgehe Wimheo          1.40    8.05   17.50   12.00 
Giij Jihl              19.42   10.50   29.17   19.00 
Giutcal Jihup           8.51    9.10   20.83   15.00 
Ge Hiucoimh            11.87    9.10   28.33   15.00 
Hiiot Meginnit         17.29    5.95   26.61   14.50 
Hitgin Kinoffig        13.23    6.53   21.67   14.00 
Ha Ramje               16.94    9.45   28.33   15.50 
Ha Zguegamh            20.93    7.00   28.33   18.00 
Humh Hiujimh           12.18    5.95   16.94   10.00 
Huuti Piiin            13.81    9.80   22.39   14.50 
Huttiom Witaan         11.90   10.15   29.17   17.00 
He Yonomh              14.88   10.85   30.00   13.50 
Iuimoel Nisifoa        20.16   11.20   30.00   20.50 
Jiahai Sineaf          20.65   11.90   30.00   13.50 
Jgu Miiotsaffi         18.90    8.05   28.33   19.00 
Jo Cifwom              11.55    8.05   24.17   18.00 
Joimh Yeaco            13.65    5.95   22.89   11.00 
Jomh Xoesumh            8.93    8.40   28.75   15.00 
Kganhgimtimo Jamtam    21.00   11.20   30.00   23.50 
Kgeiimi Cgoiih          9.87    9.45   26.67   17.00 
Kiinnai Demhim         17.57   10.15   22.08   17.00 
Lim Hiu                13.86    6.65   21.67   13.00 
Limtpaih Atioi         19.88   12.60   28.33   25.00 
La Huetsum             19.88   10.50   30.00   21.75 
Laa Vohsuioi           20.65    9.80   28.33   12.50 
Lo Qoimco              19.60    9.80   30.00   19.00 
Lo Sgeio               13.65    6.07   24.17   13.00 
Lom Yo                 18.90   10.50   27.50   11.50 
Loe Yimnomh            17.15    4.55   24.17   10.50 
Loe Yimtge             15.40    8.05   24.17   12.00 
Lje Xo                 20.23   11.90   29.17   21.50 
Mig Kaatgi             16.17    5.60   24.17   14.50 
MhLaim Kjfa            18.83   13.30   29.17   23.00 
Nhejam Affim           12.46    5.25   18.33    9.00 
Opfigaisj Saim          8.75    7.70   16.67   14.50 
Pim Xohgam             20.65   10.15   30.00   17.00 
Pisaf Kotgim           19.95    8.40   29.17   14.00 
Pe Zuaj                 0.00    7.70   17.08   13.50 
Qoim Yehgam            16.45    8.75   25.00   12.50 
Qom Hiu                21.00   10.85   30.00   20.00 
Qoe Xeahgem            20.82   10.50   30.00   21.00 
Ritii Soiil            13.30    6.65   25.00   15.00 
Rimisemhi Sinitgo       8.40    5.95   16.67   12.75 
Ritueffuei Rihgaf      14.70    7.70   20.83   13.50 
Riuif Sottgims         14.70    5.60   23.00   12.00 
Ratpuit Fiitai         19.46    8.75   27.50   15.25 
Ruj Ajetg              12.98    7.00   14.58    9.50 
Remlaf Sioms           12.71    8.40   19.17   11.50 
Sinono Biitoi          12.08    7.70   23.33   19.00 
Siilai Sigaaf          19.95    8.75   26.67   14.00 
Salgum Feiniim         18.38    7.35   20.00   11.75 
Sgamh Cafomi           21.00   10.50   29.17   20.50 
Sottoxeo Sguiop        15.40    8.05   26.25   14.00 
Suiuia Afacimtai       13.23    9.10   20.83   12.00 
Ssauiis Gfam           12.46    7.00   26.67   10.00 
Ssuihg Gfamm           16.98    9.45   27.50   15.50 
Timh Lojo              19.60    4.90   21.25   10.00 
Veumh Jutgei           19.25    6.65   25.00   16.50 
Wimh Hiujea            15.79    7.70   27.50   11.00 
Wimh Joicom            21.00   11.90   30.00   22.00 
Wimh Jem               21.00   12.25   30.00   22.75 
Wimh Ljejimh           20.30   10.15   28.33   16.00 
Wimh Pgofof             6.86   12.25   23.33   17.50 
Wao Woffoin            21.00   13.65   28.33   21.50 
Wum Re-Bom             13.30   10.15   24.17   15.00 
Xoi Toimjomh           20.30   10.15   30.00   19.50 
Xoa JomhZamh           21.00   10.50   30.00   21.00 
Xoa Lohgamh            15.47    6.65   25.42   10.50 
Yimh Ofowai            20.65   12.25   30.00   21.00 
Ye Jomhgim             20.23    8.05   26.67   15.00 
Zgimh Mamh             14.77    6.30   25.00   10.50 
Zgimh Qoimxoe          20.23   12.25   27.50   20.50 
Zgimh Yimje            20.30   11.90   30.00   23.00 
Zgue Pasai             21.00   10.50   29.17   21.50 
Zue Jemxo              21.00   11.20   29.17   21.00 
Zeluutlo Biimtum       15.43   10.15   27.50   15.00 
Zeu Qo                 20.12    8.05   30.00   18.00 
